python main_coco2.py --lr 0.003 --lmbd1 100000 --lmbd2 10 --anneal 100
train environment:  43
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
train environment:  46
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
['/coyote', '/raccoon']

working with 2 training environments: 
env['images']:  858
env['labels']:  858
class distribution:  582 coyotes and 276 raccoons. baseline accuracy 0.68 (always coyote).
env['images']:  753
env['labels']:  753
class distribution:  512 coyotes and 241 raccoons. baseline accuracy 0.68 (always coyote).
x_test:  522
y_test:  522
test class distribution:  144 coyotes and 378 raccoons. baseline accuracy 0.28 (always coyote).
Using GPU - True

========================================COCO========================================
{'n_restarts': 1, 'steps': 2001, 'n_classes': 2, 'fc_only': True, 'model_path': './models/', 'transform': {'train': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
), 'test': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)}, 'loader_tr_args': {'batch_size': 100, 'num_workers': 1}, 'loader_te_args': {'batch_size': 100, 'num_workers': 1}, 'loader_sample_args': {'batch_size': 100, 'num_workers': 1}}
step            loss            train nll       train acc       dir_w           inv_w           test nll        test acc        test prec       test rec     
1280            3.85542         0.30526         0.86312         0.29828         3.25189         0.42233         0.86242         0.84687         0.96561      
1290            1.21102         0.30889         0.86304         0.30673         0.59540         0.44508         0.83879         0.84687         0.96561      
1300            1.80839         0.30911         0.86075         0.30386         1.19542         0.44945         0.83879         0.84687         0.96561      
1310            2.93150         0.31017         0.85978         0.30676         2.31457         0.41379         0.87500         0.84668         0.97884      
1320            2.04853         0.30942         0.85974         0.30021         1.43891         0.43402         0.85727         0.84668         0.97884      
1330            1.42647         0.31166         0.85765         0.31492         0.79989         0.43292         0.86318         0.84828         0.97619      
1340            4.98012         0.31425         0.85742         0.31502         4.35084         0.41493         0.86742         0.84475         0.97884      
1350            9.04630         0.30070         0.86510         0.29059         8.45501         0.46705         0.83288         0.84687         0.96561      
1360            0.67231         0.31021         0.86081         0.30723         0.05486         0.44800         0.84636         0.84722         0.96825      
1370            1.57738         0.30791         0.86177         0.30648         0.96298         0.43618         0.85894         0.84545         0.98413      
1380            3.82818         0.30492         0.85894         0.30382         3.21944         0.47195         0.82182         0.84828         0.97619      
1390            1.04439         0.30928         0.85987         0.30531         0.42979         0.43236         0.85818         0.84722         0.96825      
1400            0.70836         0.30539         0.86597         0.30113         0.10184         0.42869         0.85818         0.84722         0.96825      
1410            9.99652         0.30796         0.85939         0.29709         9.39146         0.45687         0.84470         0.84687         0.96561      
1420            1.72744         0.30423         0.86152         0.30496         1.11824         0.44968         0.83955         0.84668         0.97884      
1430            1.21754         0.30598         0.86162         0.29625         0.61530         0.44673         0.83879         0.84687         0.96561      
1440            4.99763         0.30375         0.86515         0.28970         4.40419         0.44045         0.84985         0.84543         0.95503      
1450            8.57901         0.29849         0.86744         0.28744         7.99308         0.44464         0.85061         0.84687         0.96561      
1460            1.24453         0.30640         0.86264         0.29267         0.64545         0.46379         0.83045         0.84670         0.94974      
1470            4.91949         0.31169         0.85684         0.31228         4.29551         0.44245         0.85742         0.84579         0.95767      
1480            2.23513         0.30972         0.85850         0.31059         1.61482         0.42788         0.85136         0.84354         0.98413      
1490            1.23943         0.30966         0.86011         0.30156         0.62821         0.43323         0.85727         0.84354         0.98413      
1500            2.55954         0.31492         0.85724         0.31785         1.92677         0.45467         0.83197         0.84475         0.97884      
1510            7.89566         0.31610         0.85561         0.31928         7.26028         0.41616         0.86152         0.84475         0.97884      
1520            2.60894         0.31093         0.85453         0.30980         1.98821         0.43125         0.86152         0.84475         0.97884      
1530            2.17743         0.31054         0.85525         0.30919         1.55771         0.46785         0.82939         0.84862         0.97884      
1540            1.13355         0.30863         0.85947         0.30578         0.51914         0.42845         0.85561         0.84793         0.97354      
1550            0.72308         0.30770         0.86279         0.29317         0.12221         0.44971         0.84379         0.84475         0.97884      
1560            0.67491         0.30967         0.86088         0.30401         0.06122         0.43929         0.85136         0.84828         0.97619      
1570            8.67853         0.30736         0.86218         0.29733         8.07384         0.43755         0.84212         0.84758         0.97090      
1580            1.88750         0.30522         0.86053         0.29726         1.28502         0.42720         0.85818         0.84722         0.96825      
1590            3.11119         0.30384         0.86207         0.29334         2.51401         0.41223         0.87242         0.84270         0.99206      
1600            0.91539         0.30995         0.85917         0.30765         0.29779         0.40912         0.87076         0.84234         0.98942      
1610            2.03854         0.31218         0.85456         0.30257         1.42380         0.44592         0.84121         0.84234         0.98942      
1620            2.03212         0.30630         0.86026         0.30116         1.42467         0.43612         0.85727         0.84510         0.98148      
